INSERT dbo.HOCSINH (MaHS, HoTenHS, NgaySinh, DiaChi, GioiTinh, MatKhau, Email, SDT)
VALUES
('HS001', N'Vũ Thái An', '2005-10-24', N'Ninh Bình', N'Nam', 'vuthaian', 'VuThaiAn@gmail.com', '0391851904'),
('HS175', N'Trần Thanh Diệp', '2003-02-26', N'Nghệ An', N'Nữ', 'tranthanhdiep', 'TranThanhDiep@gmail.com', '0476434087'),
('HS176', N'Nguyễn Trường Giang', '2003-06-02', N'Hải Phòng', N'Nam', 'nguyentruonggiang', 'NguyenTruongGiang@gmail.com', '0633542753'),
('HS177', N'Vũ Thị Thu Hương', '2003-11-03', N'Hưng Yên', N'Nữ', 'vuthithuhuong', 'VuThiThuHuong@gmail.com', '0071306147'),
('HS178', N'Hoàng Thị Bích Ngọc', '2003-01-27', N'Quảng Ninh', N'Nữ', 'hoangthibichngoc', 'HoangThiBichNgoc@gmail.com', '0304737729'),
('HS179', N'Trần Thị Thanh Tâm', '2003-01-10', N'Hà Nội', N'Nữ', 'tranthithanhtam', 'TranThiThanhTam@gmail.com', '0515828644'),
('HS180', N'Trần Diễm Thùy Dương', '2003-04-17', N'Nam Định', N'Nữ', 'trandiemthuyduong', 'TranDiemThuyDuong@gmail.com', '0756591236'),
('HS181', N'Bùi Thị Kim Oanh', '2003-10-07', N'Thái Bình', N'Nữ', 'buithikimoanh', 'BuiThiKimOanh@gmail.com', '0416929768'),
('HS182', N'Nguyễn Đăng Nhật Anh', '2003-11-13', N'Cao Bằng', N'Nữ', 'nguyendangnhatanh', 'NguyenDangNhatAnh@gmail.com', '0280672213'),
('HS183', N'Đặng Thị Vân', '2003-10-18', N'Hưng Yên', N'Nữ', 'dangthivan', 'DangThiVan@gmail.com', '0714276248'),
('HS184', N'Nguyễn Bích Thủy', '2003-04-25', N'Hà Tĩnh', N'Nữ', 'nguyenbichthuy', 'NguyenBichThuy@gmail.com', '0180359020'),
('HS185', N'Vũ Thế Hưng', '2003-07-30', N'Nghệ An', N'Nam', 'vuthehung', 'VuTheHung@gmail.com', '0258515035'),
('HS186', N'Hà Quang Phong', '2003-03-19', N'Bắc Ninh', N'Nam', 'haquangphong', 'HaQuangPhong@gmail.com', '0317327741'),
('HS187', N'Đồng Thanh Phương', '2003-04-07', N'Thái Nguyên', N'Nam', 'dongthanhphuong', 'DongThanhPhuong@gmail.com', '0224978068'),
('HS188', N'Vũ Đức Nghĩa', '2003-11-03', N'Hà Tĩnh', N'Nam', 'vuducnghia', 'VuDucNghia@gmail.com', '0792064195'),
('HS189', N'Trần Đức Hoàn', '2003-09-15', N'Hà Nội', N'Nam', 'tranduchoan', 'TranDucHoan@gmail.com', '0420923083'),
('HS190', N'Nguyễn Thanh Tùng', '2003-07-04', N'Thanh Hóa', N'Nam', 'nguyenthanhtung', 'NguyenThanhTung@gmail.com', '0175350770'),
('HS191', N'Phạm Hồng Sơn', '2003-08-28', N'Hải Phòng', N'Nam', 'phamhongson', 'PhamHongSon@gmail.com', '0638055634'),
('HS192', N'Nguyễn Mạnh Dũng', '2003-03-15', N'Nghệ An', N'Nam', 'nguyenmanhdung', 'NguyenManhDung@gmail.com', '0235222122'),
('HS193', N'Phạm Văn Công', '2003-03-02', N'Tuyên Quang', N'Nam', 'phamvancong', 'PhamVanCong@gmail.com', '0120089599'),
('HS194', N'Nguyễn Hồng Nam', '2003-11-15', N'Phú Thọ', N'Nam', 'nguyenhongnam', 'NguyenHongNam@gmail.com', '0233228456'),
('HS195', N'Nguyễn Huy Hùng', '2003-04-22', N'Quảng Ninh', N'Nam', 'nguyenhuyhung', 'NguyenHuyHung@gmail.com', '0736428874'),
('HS196', N'Trần Bình Minh', '2003-02-20', N'Thái Bình', N'Nam', 'tranbinhminh', 'TranBinhMinh@gmail.com', '0784322865'),
('HS197', N'Nguyễn Thị Linh', '2003-01-27', N'Hà Tĩnh', N'Nữ', 'nguyenthilinh', 'NguyenThiLinh@gmail.com', '0054956639'),
('HS198', N'Bùi Ngọc Chi', '2003-01-03', N'Hải Phòng', N'Nữ', 'buingocchi', 'BuiNgocChi@gmail.com', '0100786549'),
('HS199', N'Đỗ Gia Hân', '2003-01-04', N'Nghệ An', N'Nữ', 'dogiahan', 'DoGiaHan@gmail.com', '0570111470'),
('HS200', N'Nguyễn Minh Huyền', '2003-01-22', N'Hà Nội', N'Nữ', 'nguyenminhhuyen', 'NguyenMinhHuyen@gmail.com', '0491036230')
GO
UPDATE dbo.HOCSINH
SET HoTenHS=N'Nguyễn Hà Văn', Email='NguyenHaVan@gmail.com', MatKhau='nguyenhavan'
WHERE MaHS='HS077'
